iter	Logloss
0	0.6888075693
1	0.6849240025
2	0.6806687859
3	0.6765837104
4	0.672532677
5	0.6684959169
6	0.6645467388
7	0.6605373697
8	0.657815728
9	0.6543037924
10	0.6507071268
11	0.6473514212
12	0.6438746513
13	0.6405783327
14	0.6375623436
15	0.6340770029
16	0.63083699
17	0.6280769884
18	0.6251821816
19	0.6223414376
20	0.6194343274
21	0.6178669205
22	0.6151649356
23	0.6119733457
24	0.6089002153
25	0.6060357482
26	0.6029382055
27	0.600019906
28	0.5974082018
29	0.5946302147
30	0.5914294889
31	0.5889500605
32	0.5867043377
33	0.5839776324
34	0.5816252674
35	0.5792730969
36	0.5766233014
37	0.5747820176
38	0.5723061913
39	0.5699039945
40	0.5673148839
41	0.5649841586
42	0.5628964326
43	0.5602757534
44	0.5582296768
45	0.5564446709
46	0.5544991145
47	0.552408699
48	0.5504377116
49	0.5482923017
50	0.546609183
51	0.5450040994
52	0.5433099314
53	0.5411305302
54	0.5393060308
55	0.5377937551
56	0.5365373343
57	0.535106847
58	0.5334278527
59	0.5315215706
60	0.5295552944
61	0.5282000377
62	0.5265464928
63	0.5251767082
64	0.5235020954
65	0.5221317902
66	0.520462411
67	0.5191195995
68	0.5182943827
69	0.5168916441
70	0.5152988682
71	0.5136674838
72	0.5123113359
73	0.5111241239
74	0.5097576238
75	0.5083159628
76	0.5068918817
77	0.5054067133
78	0.5042310863
79	0.5033171038
80	0.5021326507
81	0.5008734295
82	0.4997187495
83	0.4983885241
84	0.4970598173
85	0.4959733574
86	0.4948267608
87	0.4937418015
88	0.4926517904
89	0.491599501
90	0.4904484093
91	0.4895289207
92	0.4885666508
93	0.4874771155
94	0.4862419544
95	0.4854214398
96	0.484458494
97	0.4832926739
98	0.4819503435
99	0.4809119602
100	0.4797198622
101	0.4788451916
102	0.4779497687
103	0.4770183659
104	0.476316016
105	0.4748788077
106	0.4740161593
107	0.473119647
108	0.4723544693
109	0.4713998953
110	0.4704253547
111	0.4696984274
112	0.4688711735
113	0.4679133979
114	0.4671074855
115	0.4662206447
116	0.465543143
117	0.464668113
118	0.4639673679
119	0.4631669012
120	0.4622504785
121	0.4613742324
122	0.4602898344
123	0.4593851745
124	0.4585173281
125	0.4575315862
126	0.4566674582
127	0.4560779895
128	0.4552680628
129	0.4545352349
130	0.4538679801
131	0.453139249
132	0.4525567385
133	0.4519608049
134	0.4511535429
135	0.4502902994
136	0.4496542161
137	0.449074539
138	0.4484291823
139	0.4477636677
140	0.4473809403
141	0.4466218357
142	0.4458515622
143	0.4453253897
144	0.4449125239
145	0.4442451126
146	0.4436215197
147	0.4429244815
148	0.4424498661
149	0.4418493714
150	0.441273665
151	0.4405647639
152	0.4399254628
153	0.4389653646
154	0.438182807
155	0.4377066666
156	0.4371435349
157	0.4365873337
158	0.4358800917
159	0.4353097677
160	0.4346723194
161	0.4341534033
162	0.4338147828
163	0.4335497389
164	0.4330782292
165	0.432463974
166	0.4322329639
167	0.4314935322
168	0.4309368826
169	0.4306741949
170	0.4302540739
171	0.4297345726
172	0.4292221287
173	0.4286842799
174	0.4278501837
175	0.4275375059
176	0.4269635306
177	0.4265680705
178	0.4261557863
179	0.4259927962
180	0.4256752265
181	0.4250949883
182	0.4246142323
183	0.4240597769
184	0.423759088
185	0.4234057496
186	0.4230009421
187	0.4226234464
188	0.4218512824
189	0.4213381493
190	0.4210802049
191	0.4204482986
192	0.4200152291
193	0.4195986061
194	0.419208522
195	0.4190057241
196	0.4186405957
197	0.4183459741
198	0.4181144692
199	0.4176300753
200	0.4170072684
201	0.4166126006
202	0.416204018
203	0.4157073607
204	0.4153859302
205	0.4149595174
206	0.4145165071
207	0.4140484797
208	0.4133277831
209	0.4128538043
210	0.41240957
211	0.4118380205
212	0.4115527614
213	0.4111899702
214	0.4107621724
215	0.4102995039
216	0.4099350598
217	0.4093484336
218	0.4090518756
219	0.4086621627
220	0.4082360062
221	0.4080722976
222	0.4077539247
223	0.4071941508
224	0.4069882241
225	0.4065255564
226	0.4063299506
227	0.4060205095
228	0.4056865569
229	0.4051663963
230	0.4047690552
231	0.4044242576
232	0.4040213612
233	0.4036733406
234	0.4030844872
235	0.4025989671
236	0.4024175337
237	0.4020065972
238	0.4017410304
239	0.401522785
240	0.4012397297
241	0.4008197485
242	0.4004130525
243	0.4001155024
244	0.4000151083
245	0.3995894688
246	0.399101939
247	0.3987864052
248	0.3984711497
249	0.3979752584
250	0.3976572106
251	0.3973090773
252	0.3970760074
253	0.396847127
254	0.3965297661
255	0.3961511802
256	0.3960483143
257	0.3958138465
258	0.395469333
259	0.3949562036
260	0.394656783
261	0.394264122
262	0.3940348649
263	0.393842414
264	0.3935053144
265	0.3932829055
266	0.3930064323
267	0.3928306101
268	0.3925051797
269	0.3923071354
270	0.3921975027
271	0.3921316144
272	0.3920849937
273	0.391632657
274	0.3912688692
275	0.3910187197
276	0.3907399012
277	0.3904174856
278	0.3900490975
279	0.3897804937
280	0.3893355764
281	0.3891051141
282	0.3890615382
283	0.388675004
284	0.3885664439
285	0.3881874831
286	0.3879297365
287	0.3876842585
288	0.3873623654
289	0.3870743478
290	0.3867866935
291	0.386614904
292	0.3864129841
293	0.3861412248
294	0.3858916843
295	0.3855827167
296	0.3853282947
297	0.3850757329
298	0.3847525638
299	0.3845076251
300	0.3843705799
301	0.3841511184
302	0.3839375742
303	0.3835487152
304	0.3834201439
305	0.3831657892
306	0.3828992743
307	0.3825605606
308	0.3823723977
309	0.3820714724
310	0.381878915
311	0.3814542502
312	0.3814071751
313	0.381199742
314	0.3809628929
315	0.3809503543
316	0.380812024
317	0.3804993836
318	0.38022156
319	0.3798632612
320	0.3797257719
321	0.3795241825
322	0.3790251834
323	0.3786782518
324	0.3785011391
325	0.3780042373
326	0.3777045775
327	0.3774258197
328	0.3772978153
329	0.3771365987
330	0.3769351604
331	0.3768072359
332	0.3766853377
333	0.3764377225
334	0.3761643741
335	0.3760364648
336	0.3758063422
337	0.3754403211
338	0.3753478995
339	0.3751262374
340	0.3750103463
341	0.3748486594
342	0.374659576
343	0.3742826785
344	0.3742049574
345	0.3741076243
346	0.3738798406
347	0.3738042935
348	0.3736949244
349	0.3734321724
350	0.3733561949
351	0.373100636
352	0.3729603992
353	0.3729417007
354	0.3727967464
355	0.3724602366
356	0.372310315
357	0.3720922563
358	0.3719484849
359	0.3716278719
360	0.3714394187
361	0.3712184769
362	0.3708514391
363	0.3704951725
364	0.3703211102
365	0.3701257336
366	0.3697675389
367	0.3695009661
368	0.3691847046
369	0.3689850721
370	0.3686170049
371	0.3684003509
372	0.3682039196
373	0.3679910525
374	0.3678172201
375	0.3676204655
376	0.3674462269
377	0.3669115606
378	0.3667998934
379	0.3666212932
380	0.3663800704
381	0.3662760256
382	0.3661760521
383	0.3659887661
384	0.3656510027
385	0.3653047089
386	0.3651597006
387	0.3648528611
388	0.3646463319
389	0.3644955531
390	0.3642509908
391	0.36402598
392	0.3638145127
393	0.3636587459
394	0.3633695685
395	0.3632618191
396	0.3629879786
397	0.3626982512
398	0.3623133785
399	0.3621167461
400	0.3618168419
401	0.3615999818
402	0.3613053189
403	0.3610158815
404	0.3607080466
405	0.3606076777
406	0.3603112642
407	0.3599464854
408	0.3598104253
409	0.3595775451
410	0.3593652724
411	0.3592714435
412	0.3589907691
413	0.3587158961
414	0.3584897732
415	0.3583199827
416	0.3581514984
417	0.3577854453
418	0.3576560422
419	0.3573986091
420	0.3572862744
